algo,seed,iter,timesteps_total,episode_reward_mean,success,crash,out,length
Minimal Stackelberg (no CoPO),0,500,1000000,112.91847977489188,0.8029224094773635,0.1448572516540898,0.053069446412784,1430.29
Minimal Stackelberg (no CoPO),100,500,1000000,109.87497560061765,0.7658345461290031,0.1900071564655983,0.0451136714103619,1382.28
CoPO baseline (original),0,500,1000000,84.05650730008398,0.3959164600200909,0.2186663141640261,0.0687381446714788,1719.15
CoPO baseline (original),100,500,1000000,112.5284660568894,0.792481953049646,0.13957446325785,0.0581933397274303,1690.07
Stackelberg + 2D CPA (no CoPO),0,500,1000000,105.10080213847672,0.7178983797871568,0.227769819971956,0.0542517502044973,1425.49
Stackelberg + 2D CPA (no CoPO),100,500,1000000,112.36233903751496,0.8029665959633135,0.1621552044721981,0.0347917884927831,1434.65
