training_iteration,timesteps_total,episode_reward_mean,success,crash,out,length
1,2000,,,,,
2,4000,,,,,
3,6000,,,,,
4,8000,2.3860134060384914,0.0,0.3181818181818182,0.3636363636363636,1544.0
5,10000,4.190036572229521,0.0,0.3209962108445425,0.3127092972189028,1771.6
6,12000,4.190036572229521,0.0,0.3209962108445425,0.3127092972189028,1771.6
7,14000,4.190036572229521,0.0,0.3209962108445425,0.3127092972189028,1771.6
8,16000,4.190036572229521,0.0,0.3209962108445425,0.3127092972189028,1771.6
9,18000,4.635222555035193,0.0,0.3389913872219231,0.2916546659721583,1808.0
10,20000,4.617140011682764,0.0,0.3753081554525093,0.2611795427762555,1819.7
11,22000,4.617140011682764,0.0,0.3753081554525093,0.2611795427762555,1819.7
12,24000,4.617140011682764,0.0,0.3753081554525093,0.2611795427762555,1819.7
13,26000,4.617140011682764,0.0,0.3753081554525093,0.2611795427762555,1819.7
14,28000,5.5022199166065375,0.0,0.3753555933557224,0.2221839967574967,1834.7692307692307
15,30000,6.073177793506557,0.0,0.3604385544107593,0.2171542489163985,1850.8
16,32000,6.073177793506557,0.0,0.3604385544107593,0.2171542489163985,1850.8
17,34000,6.073177793506557,0.0,0.3604385544107593,0.2171542489163985,1850.8
18,36000,6.073177793506557,0.0,0.3604385544107593,0.2171542489163985,1850.8
19,38000,6.983710807317876,0.0,0.3453135440235987,0.2158918475976098,1860.684210526316
20,40000,7.217165165320011,0.0,0.3436728668224187,0.212388921884396,1866.6
21,42000,7.217165165320011,0.0,0.3436728668224187,0.212388921884396,1866.6
22,44000,7.217165165320011,0.0,0.3436728668224187,0.212388921884396,1866.6
23,46000,7.217165165320011,0.0,0.3436728668224187,0.212388921884396,1866.6
24,48000,8.605595242037332,0.0,0.3379877518442626,0.2191346569569724,1882.875
25,50000,9.20636513781935,0.0,0.3351349084371587,0.213924826234249,1883.12
26,52000,9.20636513781935,0.0,0.3351349084371587,0.213924826234249,1883.12
27,54000,9.20636513781935,0.0,0.3351349084371587,0.213924826234249,1883.12
28,56000,10.513885565690602,0.0,0.3277887248034237,0.2078052292236408,1884.5185185185185
29,58000,12.07300538384798,0.0,0.3180496144932783,0.2049362633432685,1881.6333333333332
30,60000,12.07300538384798,0.0,0.3180496144932783,0.2049362633432685,1881.6333333333332
31,62000,12.07300538384798,0.0,0.3180496144932783,0.2049362633432685,1881.6333333333332
32,64000,12.07300538384798,0.0,0.3180496144932783,0.2049362633432685,1881.6333333333332
33,66000,13.83660981325207,0.0,0.3028702573977566,0.2025154180849793,1882.1818181818185
34,68000,15.205571316359142,0.0006802721088435,0.3008956723073144,0.2014611618553196,1885.6571428571428
35,70000,15.205571316359142,0.0006802721088435,0.3008956723073144,0.2014611618553196,1885.6571428571428
36,72000,15.205571316359142,0.0006802721088435,0.3008956723073144,0.2014611618553196,1885.6571428571428
37,74000,15.205571316359142,0.0006802721088435,0.3008956723073144,0.2014611618553196,1885.6571428571428
38,76000,17.15658017464643,0.0006105006105006,0.2884706250951082,0.1961718479088451,1883.0
39,78000,17.521322937042143,0.000595238095238,0.292960987127305,0.1944590410728261,1884.575
40,80000,17.521322937042143,0.000595238095238,0.292960987127305,0.1944590410728261,1884.575
41,82000,17.521322937042143,0.000595238095238,0.292960987127305,0.1944590410728261,1884.575
42,84000,18.415996578796086,0.0005668934240362,0.2889241370023345,0.1915065219908285,1881.8333333333333
43,86000,19.200910446275422,0.0005291005291005,0.2821262768075027,0.1930711328981013,1876.8222222222223
44,88000,19.200910446275422,0.0005291005291005,0.2821262768075027,0.1930711328981013,1876.8222222222223
45,90000,19.200910446275422,0.0005291005291005,0.2821262768075027,0.1930711328981013,1876.8222222222223
46,92000,19.54264958787719,0.0005175983436853,0.2825148360073396,0.1921348039220556,1868.891304347826
47,94000,20.568621840839366,0.0009718172983479,0.2835326299941118,0.1906416964966849,1860.142857142857
48,96000,20.92943575868627,0.0009523809523809,0.2842256137578659,0.1904652262031148,1862.72
49,98000,20.92943575868627,0.0009523809523809,0.2842256137578659,0.1904652262031148,1862.72
50,100000,20.92943575868627,0.0009523809523809,0.2842256137578659,0.1904652262031148,1862.72
51,102000,22.052093420856725,0.0008984725965858,0.2858154268835893,0.1845683050757471,1860.188679245283
52,104000,22.39766937035217,0.0008818342151675,0.2885109291453674,0.1829659145314976,1861.555555555556
53,106000,22.619954489196047,0.0008658008658008,0.2860624786853817,0.1824364643372186,1860.9454545454544
54,108000,22.619954489196047,0.0008658008658008,0.2860624786853817,0.1824364643372186,1860.9454545454544
55,110000,22.619954489196047,0.0008658008658008,0.2860624786853817,0.1824364643372186,1860.9454545454544
56,112000,23.90003150257057,0.0008071025020177,0.2847075045104695,0.1826554169228936,1856.135593220339
57,114000,23.90003150257057,0.0008071025020177,0.2847075045104695,0.1826554169228936,1856.135593220339
58,116000,24.22371789271378,0.0007936507936507,0.2840440120883563,0.1833526565728182,1857.2
59,118000,24.22371789271378,0.0007936507936507,0.2840440120883563,0.1833526565728182,1857.2
60,120000,25.301371035111547,0.002124384386146,0.2823829973784929,0.1827737511658805,1853.873015873016
61,122000,25.50572245693417,0.0023916716493433,0.2827784553521461,0.1838241613039136,1854.75
62,124000,25.789895261152047,0.002689324861427,0.2841136363065947,0.1819994417654587,1854.753846153846
63,126000,25.789895261152047,0.002689324861427,0.2841136363065947,0.1819994417654587,1854.753846153846
64,128000,26.259786194463786,0.003911203777668,0.2839124195948786,0.1839767229508306,1851.7121212121208
65,130000,27.178790092358803,0.0052970526253819,0.2872013961705568,0.1826853351360541,1850.8260869565215
66,132000,27.178790092358803,0.0052970526253819,0.2872013961705568,0.1826853351360541,1850.8260869565215
67,134000,27.48909406508349,0.0060617165794731,0.2887007599787645,0.1834368891719256,1852.357142857143
68,136000,27.48909406508349,0.0060617165794731,0.2887007599787645,0.1834368891719256,1852.357142857143
69,138000,28.20936671331672,0.007405780682021,0.2884692290737352,0.1899963459916585,1849.9315068493152
70,140000,28.225135090637977,0.0075386941769983,0.2880658704329437,0.1939525929470368,1848.581081081081
71,142000,28.398307651584247,0.0079823959417132,0.2866739717523412,0.1959924087145457,1845.746666666667
72,144000,28.398307651584247,0.0079823959417132,0.2866739717523412,0.1959924087145457,1845.746666666667
73,146000,28.57848082202254,0.0081634056060957,0.285762357707545,0.1979902202703612,1843.065789473684
74,148000,29.232224285308444,0.0107110307467654,0.2858967918946666,0.2004915079146489,1842.1666666666667
75,150000,29.474659554388666,0.0108391611592536,0.2859698282841856,0.2011181976878812,1842.73417721519
76,152000,29.893658939834992,0.0115808646272191,0.2837109949043175,0.2054024658308177,1840.9
77,154000,30.29414622949113,0.0127150301980197,0.2836140945840854,0.2056337678703692,1840.703703703704
