algo,seed,iter,timesteps_total,episode_reward_mean,success,crash,out,length
Minimal Stackelberg (no CoPO),0,500,1000000,112.91847977489188,0.8029224094773635,0.1448572516540898,0.053069446412784,1430.29
Minimal Stackelberg (no CoPO),100,500,1000000,109.87497560061765,0.7658345461290031,0.1900071564655983,0.0451136714103619,1382.28
Minimal Stackelberg (no CoPO),200,500,1000000,93.2309148649647,0.5399947876846994,0.3086028113286731,0.1041850828313572,1738.17
CoPO baseline (original),0,500,1000000,84.05650730008398,0.3959164600200909,0.2186663141640261,0.0687381446714788,1719.15
CoPO baseline (original),100,500,1000000,112.5284660568894,0.792481953049646,0.13957446325785,0.0581933397274303,1690.07
CoPO baseline (original),200,500,1000000,93.48310711374248,0.5338199151155893,0.1658153626966008,0.0981214744783502,1734.69
